h	c	b	a	f	g	e	d	class
18.0	0.155	0.51	0.635	0.289	0.315	0.428	1.156	M
14.0	0.15	0.53	0.695	0.3025	0.43	0.6375	1.477	M
15.0	0.185	0.54	0.69	0.318	0.47	0.6935	1.5715	F
15.0	0.135	0.435	0.555	0.1585	0.29	0.377	0.858	M
14.0	0.19	0.525	0.65	0.4005	0.395	0.6265	1.4995	M
15.0	0.19	0.48	0.635	0.303	0.42	0.5825	1.467	M
14.0	0.16	0.51	0.655	0.2825	0.37	0.396	1.092	F
19.0	0.205	0.555	0.69	0.4395	0.515	0.7785	1.8165	F
13.0	0.16	0.55	0.695	0.3005	0.44	0.694	1.6365	F
13.0	0.16	0.435	0.55	0.219	0.295	0.342	0.906	M
15.0	0.19	0.495	0.61	0.306	0.365	0.464	1.213	F
11.0	0.165	0.5	0.595	0.28	0.275	0.402	1.06	M
6.0	0.09	0.24	0.3	0.039	0.05	0.0725	0.161	M
9.0	0.125	0.35	0.435	0.1145	0.145	0.197	0.459	F
8.0	0.125	0.375	0.455	0.106	0.185	0.233	0.533	I
12.0	0.13	0.38	0.48	0.142	0.175	0.3	0.6175	M
6.0	0.105	0.35	0.43	0.0855	0.11	0.1705	0.366	I
7.0	0.105	0.35	0.435	0.1005	0.13	0.194	0.4195	F
5.0	0.075	0.23	0.3	0.042	0.045	0.0605	0.15	I
12.0	0.15	0.48	0.575	0.193	0.29	0.375	0.8745	F
9.0	0.11	0.385	0.505	0.15	0.185	0.3185	0.655	M
7.0	0.125	0.375	0.455	0.102	0.165	0.2155	0.484	M
18.0	0.165	0.505	0.64	0.3035	0.39	0.6145	1.4435	M
13.0	0.125	0.435	0.56	0.2145	0.29	0.3345	0.8775	F
12.0	0.19	0.52	0.645	0.288	0.37	0.58	1.3105	F
14.0	0.145	0.485	0.595	0.2925	0.33	0.5035	1.2515	F
17.0	0.115	0.45	0.565	0.197	0.29	0.398	0.9085	M
12.0	0.14	0.5	0.655	0.3175	0.285	0.5405	1.1705	F
14.0	0.135	0.38	0.48	0.1395	0.16	0.2	0.528	M
11.0	0.135	0.385	0.495	0.1635	0.185	0.3005	0.6625	F
10.0	0.115	0.335	0.4	0.1205	0.12	0.2105	0.4335	F
11.0	0.125	0.31	0.41	0.0885	0.115	0.1415	0.3595	M
12.0	0.145	0.465	0.595	0.2415	0.31	0.402	1.107	F
13.0	0.13	0.475	0.625	0.1775	0.24	0.3195	0.8595	F
17.0	0.155	0.425	0.52	0.123	0.255	0.297	0.7735	M
11.0	0.125	0.36	0.465	0.1075	0.145	0.169	0.4365	M
13.0	0.14	0.375	0.475	0.1175	0.175	0.192	0.501	F
18.0	0.14	0.405	0.5	0.124	0.25	0.265	0.6735	F
12.0	0.11	0.355	0.46	0.082	0.13	0.215	0.415	M
12.0	0.125	0.385	0.485	0.0785	0.17	0.2	0.4775	M
15.0	0.14	0.39	0.465	0.1075	0.215	0.213	0.5555	F
12.0	0.16	0.415	0.525	0.1575	0.22	0.26	0.6445	M
18.0	0.19	0.53	0.655	0.318	0.565	0.493	1.428	F
24.0	0.185	0.54	0.69	0.353	0.555	0.533	1.6195	M
11.0	0.17	0.45	0.55	0.157	0.22	0.317	0.81	M
13.0	0.165	0.475	0.58	0.26	0.305	0.414	1.0385	F
11.0	0.155	0.475	0.59	0.235	0.28	0.371	0.9715	F
11.0	0.155	0.44	0.565	0.217	0.26	0.348	0.868	M
13.0	0.185	0.57	0.665	0.3025	0.405	0.6965	1.522	F
14.0	0.175	0.51	0.62	0.227	0.315	0.4985	1.1255	F
12.0	0.13	0.46	0.55	0.1455	0.205	0.305	0.7085	M
15.0	0.145	0.475	0.605	0.225	0.27	0.4695	1.0185	F
15.0	0.16	0.42	0.535	0.164	0.225	0.275	0.72	M
12.0	0.12	0.395	0.51	0.122	0.193	0.262	0.6175	F
9.0	0.13	0.405	0.53	0.17	0.193	0.2845	0.738	M
11.0	0.15	0.375	0.495	0.135	0.178	0.2615	0.597	F
13.0	0.185	0.455	0.575	0.243	0.295	0.5525	1.156	M
14.0	0.16	0.5	0.63	0.3	0.345	0.4905	1.22	F
14.0	0.12	0.45	0.59	0.1315	0.22	0.3345	0.7485	M
14.0	0.165	0.485	0.605	0.205	0.33	0.437	1.0735	F
17.0	0.19	0.5	0.645	0.278	0.395	0.524	1.229	M
13.0	0.175	0.5	0.62	0.23	0.39	0.477	1.146	F
16.0	0.175	0.485	0.605	0.27	0.405	0.4325	1.145	M
16.0	0.205	0.5	0.615	0.227	0.39	0.4445	1.1055	F
11.0	0.19	0.525	0.66	0.4875	0.49	0.6525	1.67	F
15.0	0.175	0.575	0.71	0.3705	0.52	0.6465	1.555	F
12.0	0.185	0.45	0.565	0.1805	0.265	0.302	0.9285	F
16.0	0.14	0.435	0.57	0.183	0.22	0.3235	0.8085	F
16.0	0.175	0.445	0.6	0.216	0.355	0.383	1.057	I
10.0	0.115	0.3	0.41	0.0515	0.08	0.097	0.2595	I
9.0	0.135	0.325	0.45	0.1165	0.11	0.1805	0.438	F
5.0	0.08	0.2	0.275	0.024	0.03	0.037	0.099	M
9.0	0.12	0.355	0.485	0.122	0.135	0.21	0.5085	I
13.0	0.165	0.485	0.62	0.238	0.355	0.483	1.166	F
12.0	0.135	0.38	0.48	0.1365	0.155	0.1915	0.507	F
17.0	0.15	0.41	0.505	0.1335	0.215	0.243	0.6345	F
11.0	0.11	0.31	0.4	0.057	0.1	0.138	0.314	M
11.0	0.115	0.355	0.45	0.108	0.1125	0.184	0.4385	I
9.0	0.09	0.26	0.35	0.041	0.0655	0.0745	0.195	M
16.0	0.14	0.35	0.44	0.0705	0.184	0.171	0.451	M
7.0	0.065	0.2	0.265	0.0105	0.03	0.034	0.084	M
4.0	0.04	0.125	0.165	0.0045	0.008	0.0095	0.0245	M
19.0	0.2	0.555	0.705	0.3235	0.52	0.4715	1.4685	F
16.0	0.155	0.425	0.535	0.1565	0.25	0.302	0.7765	F
11.0	0.14	0.385	0.49	0.127	0.175	0.198	0.5425	I
15.0	0.13	0.37	0.48	0.1505	0.1595	0.2475	0.5885	F
12.0	0.105	0.3	0.395	0.0755	0.098	0.1435	0.3375	F
12.0	0.1	0.28	0.375	0.0585	0.0725	0.1165	0.2565	I
10.0	0.09	0.265	0.345	0.037	0.0485	0.0615	0.163	M
12.0	0.135	0.415	0.55	0.2015	0.28	0.2985	0.8095	I
16.0	0.2	0.48	0.635	0.2595	0.425	0.6255	1.3655	I
13.0	0.17	0.475	0.575	0.284	0.275	0.3775	0.967	I
10.0	0.15	0.435	0.545	0.145	0.225	0.2905	0.6855	F
10.0	0.125	0.305	0.385	0.0555	0.08	0.146	0.314	F
11.0	0.18	0.34	0.51	0.165	0.2	0.312	0.7005	F
13.0	0.125	0.34	0.44	0.0875	0.2	0.1735	0.4895	I
12.0	0.125	0.36	0.45	0.0865	0.145	0.191	0.45	I
8.0	0.105	0.3	0.39	0.038	0.085	0.0955	0.259	I
12.0	0.135	0.325	0.425	0.079	0.14	0.1465	0.382	F
11.0	0.125	0.35	0.45	0.09	0.145	0.185	0.4435	F
15.0	0.18	0.525	0.66	0.4005	0.42	0.6025	1.6935	I
16.0	0.175	0.525	0.685	0.309	0.58	0.5415	1.71	F
12.0	0.185	0.475	0.585	0.1785	0.275	0.3465	0.8575	F
17.0	0.145	0.435	0.54	0.22	0.264	0.4285	0.97	I
12.0	0.135	0.39	0.49	0.125	0.1845	0.215	0.59	F
14.0	0.095	0.33	0.43	0.085	0.112	0.1315	0.34	M
13.0	0.11	0.365	0.455	0.046	0.1345	0.166	0.385	F
13.0	0.145	0.38	0.495	0.098	0.212	0.175	0.515	I
12.0	0.145	0.38	0.48	0.141	0.23	0.232	0.59	F
14.0	0.16	0.4	0.47	0.073	0.198	0.1615	0.51	I
11.0	0.1	0.32	0.415	0.0575	0.104	0.1215	0.3005	M
13.0	0.115	0.385	0.49	0.1615	0.165	0.3265	0.683	I
10.0	0.105	0.375	0.47	0.108	0.17	0.1665	0.468	I
11.0	0.13	0.345	0.445	0.0645	0.18	0.1365	0.4075	I
13.0	0.13	0.38	0.51	0.1355	0.185	0.224	0.584	F
15.0	0.145	0.405	0.52	0.1685	0.205	0.3535	0.829	F
8.0	0.14	0.365	0.475	0.118	0.158	0.171	0.4545	I
10.0	0.11	0.36	0.455	0.098	0.125	0.206	0.4385	F
10.0	0.11	0.34	0.435	0.073	0.13	0.1685	0.407	I
6.0	0.1	0.3	0.39	0.0735	0.085	0.1385	0.3085	I
8.0	0.1	0.285	0.375	0.0555	0.07	0.105	0.239	I
5.0	0.075	0.215	0.285	0.023	0.035	0.0415	0.106	M
20.0	0.17	0.445	0.58	0.2165	0.315	0.3935	1.178	I
19.0	0.175	0.44	0.58	0.2345	0.335	0.4005	1.073	F
9.0	0.095	0.315	0.41	0.0735	0.09	0.121	0.306	M
9.0	0.1	0.3	0.41	0.069	0.09	0.124	0.301	M
10.0	0.15	0.405	0.54	0.2075	0.19	0.307	0.7585	I
11.0	0.085	0.245	0.33	0.0365	0.055	0.0655	0.171	M
11.0	0.115	0.31	0.44	0.082	0.12	0.134	0.3625	I
5.0	0.065	0.21	0.28	0.02	0.03	0.035	0.0905	M
17.0	0.195	0.465	0.59	0.187	0.375	0.3685	1.0885	I
13.0	0.165	0.48	0.61	0.264	0.335	0.4215	1.097	I
17.0	0.17	0.46	0.61	0.257	0.37	0.41	1.278	I
12.0	0.125	0.345	0.455	0.1065	0.135	0.169	0.44	M
10.0	0.09	0.235	0.33	0.034	0.055	0.0615	0.163	M
16.0	0.135	0.33	0.44	0.0905	0.195	0.17	0.522	I
19.0	0.155	0.405	0.54	0.194	0.29	0.3225	0.9715	M
10.0	0.125	0.375	0.475	0.1715	0.155	0.237	0.588	F
10.0	0.15	0.33	0.46	0.1805	0.125	0.2085	0.5325	F
6.0	0.09	0.235	0.31	0.031	0.04	0.048	0.127	I
5.0	0.07	0.19	0.255	0.016	0.031	0.028	0.0815	I
8.0	0.075	0.255	0.335	0.0345	0.057	0.0615	0.1635	M
8.0	0.08	0.21	0.295	0.026	0.031	0.038	0.1	I
5.0	0.045	0.13	0.19	0.005	0.009	0.009	0.0265	I
19.0	0.165	0.435	0.545	0.2665	0.325	0.3245	0.9955	M
15.0	0.12	0.4	0.495	0.161	0.19	0.2605	0.6605	M
14.0	0.13	0.375	0.5	0.1725	0.22	0.3055	0.721	M
7.0	0.07	0.225	0.305	0.0335	0.045	0.0585	0.1485	F
13.0	0.115	0.35	0.475	0.1455	0.125	0.194	0.487	F
13.0	0.125	0.4	0.515	0.2535	0.26	0.341	0.955	M
18.0	0.145	0.41	0.545	0.196	0.31	0.3035	0.873	M
13.0	0.185	0.535	0.74	0.4505	0.335	0.734	1.65	M
16.0	0.15	0.465	0.565	0.3525	0.33	0.377	1.1285	M
10.0	0.16	0.44	0.56	0.2785	0.26	0.5035	1.1115	M
13.0	0.125	0.42	0.545	0.174	0.305	0.353	0.9745	M
19.0	0.185	0.515	0.645	0.3155	0.41	0.5835	1.4605	M
10.0	0.13	0.435	0.575	0.222	0.32	0.368	1.0105	M
13.0	0.16	0.48	0.62	0.253	0.3	0.412	1.0765	M
13.0	0.165	0.45	0.605	0.202	0.385	0.357	1.2225	F
18.0	0.16	0.475	0.605	0.332	0.34	0.5495	1.616	M
12.0	0.15	0.375	0.475	0.1215	0.1945	0.1955	0.559	F
9.0	0.085	0.285	0.365	0.0515	0.07	0.0855	0.2205	M
8.0	0.115	0.35	0.46	0.1025	0.13	0.19	0.44	F
10.0	0.135	0.43	0.53	0.2165	0.25	0.28	0.879	M
18.0	0.15	0.395	0.48	0.1405	0.2495	0.2145	0.6815	M
13.0	0.15	0.345	0.455	0.125	0.215	0.1685	0.5795	M
9.0	0.11	0.265	0.35	0.059	0.075	0.066	0.209	I
8.0	0.105	0.28	0.37	0.0575	0.075	0.0815	0.224	M
7.0	0.075	0.25	0.34	0.0405	0.05	0.0785	0.1765	I
8.0	0.075	0.28	0.35	0.04	0.064	0.082	0.196	I
6.0	0.08	0.265	0.35	0.0465	0.053	0.081	0.192	I
7.0	0.09	0.315	0.39	0.05	0.09	0.147	0.3095	I
7.0	0.095	0.31	0.395	0.072	0.093	0.131	0.313	I
6.0	0.105	0.31	0.415	0.083	0.0915	0.167	0.3595	I
7.0	0.1	0.32	0.43	0.0745	0.1	0.192	0.3855	I
8.0	0.115	0.355	0.48	0.106	0.184	0.25	0.5785	I
9.0	0.12	0.395	0.49	0.1235	0.185	0.3325	0.674	M
7.0	0.105	0.37	0.49	0.1005	0.148	0.249	0.5265	F
9.0	0.16	0.465	0.56	0.2025	0.337	0.432	1.0315	F
7.0	0.14	0.45	0.56	0.182	0.218	0.472	0.9	M
9.0	0.15	0.46	0.58	0.221	0.265	0.491	1.0165	M
8.0	0.18	0.48	0.58	0.27	0.371	0.4945	1.2495	F
8.0	0.135	0.47	0.59	0.279	0.28	0.539	1.1685	M
10.0	0.165	0.475	0.595	0.214	0.37	0.444	1.148	F
11.0	0.15	0.475	0.6	0.223	0.292	0.5195	1.089	M
9.0	0.155	0.47	0.61	0.2175	0.2785	0.497	1.0325	M
11.0	0.15	0.475	0.63	0.254	0.316	0.536	1.172	F
10.0	0.17	0.51	0.64	0.307	0.409	0.567	1.3715	M
10.0	0.185	0.545	0.65	0.341	0.43	0.6565	1.5055	F
13.0	0.2	0.55	0.71	0.44	0.5	0.882	1.9045	M
13.0	0.2	0.605	0.74	0.575	0.5235	1.1455	2.4925	M
4.0	0.065	0.18	0.25	0.0185	0.0215	0.0345	0.0805	I
6.0	0.065	0.21	0.28	0.0285	0.03	0.0425	0.111	I
6.0	0.075	0.24	0.325	0.0305	0.045	0.065	0.152	I
5.0	0.095	0.265	0.35	0.049	0.06	0.073	0.199	I
6.0	0.09	0.27	0.36	0.0405	0.065	0.097	0.219	I
6.0	0.105	0.27	0.365	0.0475	0.063	0.0915	0.2155	I
6.0	0.09	0.28	0.37	0.0645	0.0645	0.1255	0.2565	I
7.0	0.09	0.285	0.375	0.062	0.075	0.1045	0.257	I
6.0	0.095	0.275	0.38	0.0655	0.075	0.0945	0.2505	I
8.0	0.09	0.3	0.395	0.049	0.075	0.134	0.279	I
6.0	0.105	0.335	0.43	0.0785	0.09	0.188	0.378	I
8.0	0.125	0.35	0.44	0.0955	0.131	0.21	0.456	I
7.0	0.1	0.37	0.465	0.11	0.14	0.234	0.5055	I
7.0	0.115	0.355	0.465	0.118	0.126	0.1955	0.4705	F
8.0	0.13	0.37	0.48	0.1155	0.135	0.349	0.643	M
7.0	0.1	0.37	0.485	0.1075	0.13	0.219	0.513	I
9.0	0.115	0.4	0.49	0.1325	0.145	0.256	0.569	F
8.0	0.145	0.4	0.495	0.1305	0.1645	0.2545	0.578	I
8.0	0.11	0.385	0.5	0.104	0.151	0.3015	0.596	I
8.0	0.12	0.39	0.505	0.1325	0.146	0.2555	0.5725	F
7.0	0.12	0.39	0.52	0.157	0.161	0.2885	0.6435	M
7.0	0.125	0.395	0.52	0.166	0.2	0.4035	0.8115	M
7.0	0.125	0.44	0.525	0.159	0.1915	0.3205	0.7115	F
8.0	0.155	0.44	0.55	0.195	0.25	0.3645	0.9155	M
8.0	0.145	0.44	0.555	0.1975	0.2155	0.43	0.8815	F
8.0	0.11	0.42	0.555	0.171	0.225	0.4445	0.931	F
8.0	0.165	0.46	0.575	0.2145	0.2815	0.4985	1.065	F
9.0	0.155	0.475	0.6	0.2295	0.31	0.502	1.1385	M
12.0	0.16	0.48	0.61	0.238	0.315	0.598	1.234	F
10.0	0.175	0.495	0.61	0.315	0.3455	0.53	1.2635	F
8.0	0.16	0.47	0.61	0.236	0.29	0.4925	1.0745	F
8.0	0.19	0.505	0.615	0.2925	0.365	0.6715	1.403	M
9.0	0.165	0.485	0.62	0.2505	0.2825	0.5235	1.1325	M
11.0	0.16	0.495	0.625	0.2825	0.345	0.4495	1.1115	F
10.0	0.17	0.47	0.625	0.2415	0.405	0.525	1.255	F
11.0	0.17	0.485	0.625	0.293	0.475	0.5855	1.437	M
10.0	0.155	0.495	0.635	0.2985	0.295	0.583	1.3635	M
9.0	0.195	0.48	0.64	0.2345	0.353	0.4915	1.1435	F
9.0	0.17	0.5	0.64	0.3575	0.354	0.642	1.4545	M
10.0	0.18	0.525	0.66	0.381	0.372	0.5815	1.478	M
11.0	0.165	0.52	0.665	0.407	0.4265	0.7295	1.6885	F
10.0	0.23	0.585	0.715	0.4095	0.565	0.8655	2.0725	F
11.0	0.2	0.565	0.72	0.385	0.529	0.718	1.787	M
9.0	0.185	0.58	0.725	0.3595	0.4375	0.8045	1.523	F
3.0	0.05	0.12	0.165	0.0045	0.014	0.0075	0.021	I
4.0	0.055	0.15	0.21	0.0065	0.013	0.02	0.0455	I
6.0	0.085	0.265	0.355	0.0525	0.06	0.122	0.2435	I
6.0	0.085	0.315	0.4	0.0585	0.0765	0.116	0.2675	I
7.0	0.1	0.29	0.4	0.059	0.0815	0.104	0.258	I
6.0	0.11	0.3	0.4	0.071	0.075	0.1375	0.2985	I
7.0	0.11	0.335	0.435	0.0945	0.1	0.2025	0.411	I
7.0	0.11	0.33	0.44	0.079	0.09	0.197	0.38	I
8.0	0.105	0.34	0.45	0.0925	0.12	0.21	0.4385	I
6.0	0.105	0.345	0.465	0.0345	0.109	0.242	0.4015	I
7.0	0.145	0.355	0.47	0.102	0.123	0.156	0.4485	I
7.0	0.115	0.355	0.47	0.084	0.139	0.167	0.4155	I
8.0	0.16	0.42	0.475	0.1505	0.1845	0.35	0.7095	I
7.0	0.115	0.37	0.485	0.1335	0.128	0.38	0.637	I
8.0	0.16	0.475	0.505	0.239	0.3065	0.509	1.1155	F
8.0	0.13	0.405	0.51	0.1155	0.1485	0.3065	0.599	I
8.0	0.13	0.38	0.52	0.122	0.1535	0.2375	0.5345	I
8.0	0.14	0.42	0.53	0.1165	0.183	0.2905	0.627	F
10.0	0.16	0.42	0.535	0.1515	0.2185	0.348	0.7465	M
8.0	0.16	0.44	0.55	0.201	0.27	0.4645	0.985	M
8.0	0.145	0.44	0.555	0.1685	0.23	0.4165	0.85	M
8.0	0.15	0.44	0.555	0.146	0.23	0.4155	0.838	M
9.0	0.135	0.43	0.555	0.163	0.2215	0.4055	0.812	F
8.0	0.13	0.415	0.56	0.17	0.1955	0.3695	0.7615	M
8.0	0.145	0.44	0.575	0.2195	0.225	0.3945	0.87	M
9.0	0.145	0.45	0.585	0.242	0.22	0.4845	0.9835	F
10.0	0.145	0.46	0.59	0.24	0.255	0.38	0.929	M
9.0	0.165	0.47	0.595	0.1905	0.289	0.491	1.0155	F
8.0	0.145	0.41	0.6	0.196	0.268	0.4475	0.939	M
12.0	0.16	0.475	0.6	0.2635	0.335	0.5045	1.164	M
10.0	0.175	0.47	0.61	0.2835	0.325	0.5315	1.214	M
11.0	0.19	0.49	0.615	0.257	0.348	0.4695	1.1345	F
10.0	0.18	0.51	0.62	0.274	0.322	0.592	1.233	F
10.0	0.18	0.495	0.625	0.254	0.3135	0.4715	1.0815	M
9.0	0.175	0.47	0.625	0.258	0.271	0.605	1.179	M
11.0	0.165	0.5	0.64	0.239	0.32	0.554	1.1635	F
9.0	0.175	0.475	0.64	0.341	0.288	0.4865	1.1545	F
10.0	0.175	0.52	0.645	0.2665	0.355	0.667	1.3345	F
9.0	0.18	0.505	0.65	0.3335	0.38	0.7115	1.469	M
11.0	0.18	0.52	0.655	0.36	0.355	0.7185	1.492	M
11.0	0.175	0.54	0.655	0.402	0.385	0.7285	1.5585	F
9.0	0.175	0.5	0.66	0.2805	0.4085	0.556	1.3275	F
10.0	0.18	0.525	0.67	0.3645	0.43	0.8005	1.6615	M
12.0	0.19	0.525	0.69	0.3905	0.42	0.6425	1.492	F
11.0	0.2	0.575	0.7	0.3965	0.461	0.7755	1.7365	F
11.0	0.175	0.56	0.7	0.3275	0.398	0.8605	1.6605	F
11.0	0.195	0.57	0.71	0.4435	0.4535	0.8985	1.348	M
10.0	0.18	0.545	0.715	0.347	0.449	0.871	1.7405	M
11.0	0.185	0.545	0.72	0.401	0.468	0.7925	1.7185	F
3.0	0.055	0.15	0.215	0.009	0.0125	0.015	0.041	I
4.0	0.06	0.185	0.24	0.0005	0.02	0.0295	0.0655	I
4.0	0.07	0.205	0.26	0.019	0.0305	0.0415	0.097	I
6.0	0.085	0.24	0.32	0.0265	0.038	0.0615	0.131	I
6.0	0.085	0.23	0.33	0.026	0.0505	0.079	0.1695	I
6.0	0.085	0.26	0.335	0.03	0.054	0.097	0.192	I
7.0	0.09	0.26	0.35	0.0355	0.0575	0.072	0.1765	I
6.0	0.085	0.265	0.35	0.034	0.056	0.0775	0.1735	I
6.0	0.075	0.265	0.36	0.035	0.054	0.0785	0.1785	I
7.0	0.09	0.265	0.36	0.037	0.0585	0.096	0.2055	I
7.0	0.09	0.275	0.365	0.051	0.0625	0.108	0.2345	I
7.0	0.09	0.285	0.38	0.039	0.0775	0.1005	0.2305	I
6.0	0.115	0.31	0.4	0.0595	0.087	0.1545	0.314	I
6.0	0.09	0.315	0.4	0.068	0.08	0.151	0.33	I
9.0	0.1	0.265	0.4	0.0605	0.08	0.1245	0.2775	I
8.0	0.11	0.325	0.425	0.092	0.1065	0.1695	0.405	I
6.0	0.105	0.325	0.43	0.08	0.098	0.119	0.309	I
7.0	0.11	0.335	0.435	0.0715	0.1315	0.2075	0.4385	M
8.0	0.12	0.34	0.435	0.081	0.125	0.1775	0.396	I
8.0	0.095	0.355	0.445	0.0785	0.12	0.1415	0.3615	I
8.0	0.11	0.35	0.45	0.1045	0.14	0.253	0.514	I
8.0	0.11	0.435	0.455	0.09	0.1205	0.195	0.4265	I
8.0	0.09	0.34	0.46	0.068	0.11	0.1795	0.384	I
9.0	0.125	0.355	0.475	0.1105	0.142	0.2155	0.4865	I
8.0	0.135	0.36	0.475	0.0925	0.125	0.196	0.4355	I
7.0	0.115	0.35	0.475	0.099	0.14	0.2375	0.498	I
9.0	0.125	0.355	0.48	0.0835	0.15	0.2385	0.494	I
7.0	0.12	0.37	0.495	0.11	0.1375	0.28	0.594	F
9.0	0.125	0.365	0.5	0.103	0.1645	0.229	0.528	I
8.0	0.115	0.39	0.505	0.119	0.1535	0.2575	0.5585	M
9.0	0.135	0.4	0.515	0.1215	0.1855	0.3055	0.636	I
8.0	0.105	0.39	0.525	0.1075	0.16	0.2875	0.567	I
9.0	0.13	0.405	0.53	0.1395	0.19	0.2945	0.6615	I
8.0	0.13	0.42	0.53	0.1245	0.198	0.296	0.658	I
8.0	0.135	0.415	0.535	0.169	0.2365	0.3165	0.78	M
9.0	0.13	0.41	0.535	0.1225	0.1975	0.268	0.6075	I
8.0	0.135	0.41	0.54	0.177	0.2	0.31	0.7025	I
10.0	0.155	0.425	0.55	0.187	0.2425	0.412	0.8725	I
10.0	0.175	0.45	0.565	0.2455	0.308	0.5305	1.2365	F
10.0	0.155	0.47	0.57	0.2315	0.277	0.6355	1.186	M
9.0	0.13	0.42	0.57	0.1505	0.2365	0.3535	0.7745	I
8.0	0.16	0.42	0.57	0.1915	0.223	0.4315	0.8875	F
8.0	0.155	0.455	0.575	0.2095	0.285	0.349	0.8725	I
9.0	0.125	0.44	0.575	0.1715	0.1965	0.4555	0.8515	I
9.0	0.16	0.475	0.575	0.221	0.271	0.3605	0.895	F
9.0	0.155	0.45	0.575	0.211	0.2575	0.3605	0.886	M
10.0	0.14	0.46	0.58	0.1845	0.27	0.4135	0.9265	I
10.0	0.14	0.46	0.58	0.165	0.238	0.3915	0.8295	I
11.0	0.15	0.47	0.58	0.1855	0.2445	0.444	0.907	I
9.0	0.165	0.47	0.58	0.166	0.279	0.54	1.041	M
9.0	0.165	0.465	0.585	0.2275	0.259	0.4035	0.9355	F
9.0	0.165	0.46	0.585	0.25	0.294	0.486	1.058	F
10.0	0.145	0.465	0.595	0.1795	0.2425	0.3425	0.7955	F
9.0	0.17	0.47	0.6	0.2245	0.3205	0.4995	1.0805	F
8.0	0.15	0.47	0.6	0.183	0.275	0.4225	0.928	M
11.0	0.155	0.475	0.6	0.19	0.39	0.441	1.059	F
11.0	0.23	0.475	0.6	0.2235	0.36	0.522	1.157	M
10.0	0.17	0.475	0.6	0.2475	0.31	0.4905	1.088	F
9.0	0.145	0.485	0.6	0.1585	0.239	0.3545	0.776	F
10.0	0.165	0.48	0.62	0.221	0.31	0.4835	1.043	F
9.0	0.16	0.48	0.625	0.2145	0.29	0.5795	1.1415	M
10.0	0.16	0.475	0.625	0.2875	0.319	0.605	1.3335	F
9.0	0.175	0.5	0.625	0.302	0.374	0.564	1.273	F
11.0	0.165	0.49	0.625	0.2375	0.39	0.517	1.1835	M
9.0	0.16	0.485	0.625	0.2235	0.302	0.631	1.2135	M
11.0	0.15	0.465	0.63	0.24	0.325	0.4265	1.0315	I
10.0	0.17	0.495	0.635	0.3055	0.365	0.657	1.3695	M
12.0	0.185	0.515	0.65	0.1805	0.369	0.75	1.3745	M
11.0	0.18	0.515	0.65	0.3135	0.4115	0.658	1.463	M
11.0	0.195	0.52	0.65	0.3905	0.432	0.689	1.6275	F
9.0	0.165	0.475	0.65	0.3485	0.3095	0.58	1.3875	F
11.0	0.16	0.525	0.655	0.311	0.405	0.686	1.46	M
8.0	0.165	0.53	0.655	0.1255	0.4	0.583	1.2835	F
12.0	0.155	0.5	0.66	0.288	0.335	0.6485	1.3765	F
11.0	0.2	0.515	0.66	0.422	0.401	0.749	1.6465	M
10.0	0.145	0.515	0.675	0.299	0.325	0.6025	1.265	M
11.0	0.17	0.53	0.685	0.383	0.465	0.647	1.56	M
12.0	0.18	0.52	0.715	0.3525	0.445	0.708	1.6	M
12.0	0.22	0.555	0.735	0.3645	0.6195	1.2395	2.333	M
4.0	0.04	0.125	0.175	0.008	0.009	0.0095	0.028	I
8.0	0.095	0.285	0.37	0.0515	0.0675	0.1135	0.226	I
5.0	0.09	0.3	0.395	0.0625	0.077	0.1385	0.2855	I
7.0	0.11	0.325	0.42	0.0755	0.1025	0.1245	0.325	I
8.0	0.11	0.37	0.455	0.1235	0.126	0.2385	0.514	I
8.0	0.115	0.375	0.495	0.1145	0.1395	0.31	0.5755	I
7.0	0.11	0.375	0.51	0.118	0.148	0.2865	0.5805	F
8.0	0.14	0.39	0.515	0.1325	0.119	0.341	0.678	M
7.0	0.155	0.43	0.545	0.144	0.228	0.409	0.8035	M
9.0	0.12	0.405	0.555	0.196	0.2065	0.4585	0.913	F
9.0	0.16	0.45	0.58	0.221	0.215	0.3935	0.8675	M
10.0	0.17	0.465	0.59	0.24	0.27	0.4635	1.0425	F
10.0	0.18	0.46	0.6	0.2575	0.365	0.423	1.14	M
11.0	0.17	0.49	0.61	0.25	0.3045	0.7045	1.3475	F
11.0	0.155	0.475	0.615	0.2585	0.31	0.4375	1.0735	M
9.0	0.19	0.475	0.615	0.305	0.3285	0.7315	1.4335	M
14.0	0.2	0.495	0.615	0.3115	0.371	0.5795	1.304	M
9.0	0.16	0.46	0.62	0.2	0.228	0.4915	0.9505	M
11.0	0.17	0.515	0.63	0.2955	0.38	0.6355	1.385	M
12.0	0.17	0.5	0.64	0.2645	0.32	0.4955	1.12	F
9.0	0.17	0.5	0.64	0.3375	0.315	0.565	1.2645	F
8.0	0.17	0.455	0.655	0.303	0.333	0.583	1.275	F
10.0	0.165	0.505	0.655	0.262	0.335	0.6035	1.27	M
10.0	0.175	0.53	0.66	0.3505	0.405	0.7395	1.583	M
9.0	0.175	0.5	0.665	0.345	0.37	0.643	1.4355	F
10.0	0.195	0.525	0.67	0.368	0.3905	0.573	1.42	F
10.0	0.19	0.53	0.69	0.331	0.48	0.678	1.5955	M
10.0	0.2	0.525	0.715	0.436	0.4305	0.95	1.89	M
